A34;Problem-Based Learning to Align Theory and Practice in Software Testing Teaching;2017;Jean Felipe P. Cheiran, Elder de M. Rodrigues, Ewerson Luiz de S. Carvalho, Joao Pablo S. da Silva;Unipampa,Unipampa,Unipampa,Unipampa,;RS,RS,RS,RS,;Teste;O artigo não fornece um link para acessar a abordagem proposta.
A35;Teaching Software Development for the Cloud: An Experience Report;2017;Fernando Antonio Mota Trinta, Emanuele Santos;UFC,UFC,;CE,CE,;Processo de Desenvolvimento;O artigo não fornece um link específico para acessar a abordagem proposta
A36;Retrospective for the Last 10 years of Teaching Software Engineering in UFC's Computer Department;2017;Rossana M. de Castro Andrade, Ismayle de Sousa Santos, Italo Linhares de Araujo, Bruno Saboia Aragão, Fernanda Siewerdt§;UFC,UFC,UFC,UFC,UFC,;CE,CE,CE,CE,CE,;Processo de Desenvolvimento;O artigo não fornece um link para acessar a abordagem proposta
A37;AGES: An Interdisciplinary Space Based on Projects for Software Engineering Learning.;2017;Marcelo H. Yamaguti, Flávio M. de Oliveira, Cássio A.W. Trindade, Alessandra C. S. Dutra;PUCRS,PUCRS,PUCRS,PUCRS,;RS,RS,RS,RS,;Análise / Projeto / Modelagem;http://ages.pucrs.br
A38;A Reference Model for Teaching Collaborative Mobile Systems;2017;Bruno Gadelha, Alberto Castro;UFAM,;AM,;Análise / Projeto / Modelagem;Não disponibiliza link.
A39;An experience report on teaching multiple design thinking techniques to software engineering students;2018;Anderson Felipe Souza, Bruna Ferreira, Natasha Valentim, Tayana Conte;UFAM,UFPR,UFAM,;AM,PR,AM,;Processo de Desenvolvimento;Não disponibiliza link.
A40;Identifying emerging topics and difficulties in software engineering education in Brazil;2018;Thaís Ferreira, Davi Viana, Juliana Fernandes, Rodrigo Santos;UNIRIO,UFMA,IFPI,UNIRIO,;RJ,MA,PI,RJ,;Requisitos;Não disponibiliza link.
A41;When students become contributors: leveraging OSS contributions in software engineering courses;2018;Clarice Ferreira, Cleice Souza, Gustavo Pinto, Igor Steinmacher, Paulo Meirelles;UFPA,IFPA,UFPA,UTFPR,Unifesp,;PA,PA,PA,PR,SP,;Processo de Desenvolvimento;Não disponibiliza link.
A42;Software maintenance: what do we teach and what does the industry practice?;2018;Andréa Sabedra Bordin, Fabiane Barreto Vavassori Benitti;Unipampa,UFSC,;RS,SC,;Manutenção;Não disponibiliza link.
A43;Software creation workshop: a capstone course for business-oriented software engineering teaching;2018;Sofia Costa Paiva, Dárlinton Barbosa Feres Carvalho;UFSJ,UFSJ,;MG,MG,;Análise / Projeto / Modelagem;Não disponibiliza acesso à material suplementar com artefatos sobre a execução da abordagem. 
A44;TBL as an active learning-teaching methodology for software engineering courses;2018;Cristiane Soares Ramos, Ricardo Ajax Dias Kosloski, Elaine Venson, Rejane M. da Costa Figueiredo, Victor Hugo A. Deon;UnB,UnB,UnB,UnB,UnB,;DF,DF,DF,DF,DF,;Requisitos;Não disponibiliza acesso à material suplementar com artefatos sobre a execução da abordagem. 
A45;GreaTest: a card game to motivate the software testing learning;2018;Thiago A. Beppe, Ítalo Linhares de Araújo, Bruno Sabóia Aragão, Ismayle de Sousa Santos , Davi Ximenes, Rossana M. Castro Andrade;UFC,UFC,UFC,UFC,UFC,UECE,UFC,;CE,CE,CE,CE,CE,CE,CE,;Teste;https://great-ufc.github.io/GREaTest_Site/   (encontrado no Google)
A46;What are the differences between group and individual modeling when learning UML?;2018;Williamson Silva, Bruno Gadelha, Igor Steinmacher, Tayana Conte;UFAM,UTFPR,UFAM,;AM,PR,AM,;Análise / Projeto / Modelagem;Não disponibiliza acesso à material suplementar com artefatos sobre a execução da abordagem. 
A47;Non-conventional dynamics in a software engineering course: practical and ludic activities;2018;Lis Ângela De Bortoli;IFRS,;RS,;Análise / Projeto / Modelagem;Não disponibiliza acesso à material suplementar com artefatos sobre a execução da abordagem. 
A48;Supporting to the teaching and learning process in object orientation during the construction of class diagrams;2018;Cláudio Marcio Felisbino, Adolfo Gustavo Serra Seca Neto, Laudelino Cordeiro Bastos;UP,UFPR,UTFPR,;PR,PR,PR,;Análise / Projeto / Modelagem;https://drive.google.com/drive/folders/1gpidgsrrzVAa5Bva38v3EHBKK-EjLe-2 - Esse link não contém artefatos da abordagem em si, mas dos dados brutos do Experimento. Não disponibiliza acesso à material suplementar com artefatos sobre a execução da abordage
